State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9001,Brandon L. Voges,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9002,Chris Kratoska,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9003,Sally Browne,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9004,Kemerie Foss,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9005,Karen Jordan,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9006,Michael Remucal,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9007,Dan Olson,,,NP,0,13,0,0.00,0
MN,,,5000,School Board Member (ISD #276) (Elect 4),0276,9901,WRITE-IN,,,WI,0,13,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #277),0277,9001,YES,,,NP,0,2,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #277),0277,9002,NO,,,NP,0,2,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #277),0277,9001,YES,,,NP,0,2,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #277),0277,9002,NO,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9001,Heidi Marty,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9002,Brian Roath,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9003,Ralph Harrison,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #277) (Elect 4),0277,9004,David W. Olson,,,NP,0,2,0,0.00,0
